filename,Artistic Categories,Score,Theme and logic,Creativity,Layout and composition,Space and perspective,The sense of order,Light and shadow,Color,Details and texture,The overall,Mood
39120d83061246db9d7fc8fa6b0e37d8.jpg,oil painting*classicism*landscapes,3.5,4.43,,3.86,3.86,3.71,3.29,3.86,3.71,3.86,4
b22cdc461f2c443caf5ab5a7bbc59c35.png,oil painting*classicism*landscapes,3.583,4.17,,4,3.83,3.83,3.67,3.5,3.33,3.83,4.17
a5b74f039bef4457aaba76cfc4c05adf.png,oil painting*classicism*landscapes,3.643,5,,4.14,3.86,4.14,3.71,4.43,4,4.29,3.57
9393c8dfcaa84ca8bf0cd68b0e239ead.png,oil painting*classicism*landscapes,3.667,5,,3.5,3.67,4.33,3.83,4,4,4,4.17
7d204ab5ee854be9b6f3e4ba1a6b1310.jpg,oil painting*classicism*landscapes,3.714,5,,3.86,4,3.71,3.86,3.86,3.86,4.29,3.57
87a1d008a93545bb87fccac453bfb8cf.png,oil painting*classicism*landscapes,3.75,4.5,,3.67,3.83,4,4,4.33,4.17,4,3.67
9abfc782213648bfbfa3e6e5ced6d144.png,oil painting*classicism*landscapes,3.75,3.5,,3.67,3.17,3.17,3.5,3.67,3.17,4.17,4.17
199e0c8789c3429cab34f539255091d7.jpg,oil painting*classicism*landscapes,3.833,4.5,,4.67,4.17,4.67,4.5,4.33,4.17,4.5,4.5
086401f4aadb4a43ba1fabecaa2d65c8.png,oil painting*classicism*landscapes,3.9,6,,4.8,4.4,5.6,4.4,4.6,5.4,4.6,4.4
9db28aee9ca643929c583fea86bb6799.jpg,oil painting*classicism*landscapes,3.917,4.5,,3.83,4,4,4,3.67,4.5,4.33,4.5
ed373d91221549c4a3a2096edbe468d1.jpg,oil painting*classicism*landscapes,3.929,5.57,,4.29,5,5,4.57,5.14,5.14,4,4.71
e3e9493106d5407f9101aef776091e00.png,oil painting*classicism*landscapes,4.143,5.14,,4.57,4.43,4.43,4.29,4.43,4,4.14,4.14
a746ca2df6644423a1598416d3a42b5c.png,oil painting*classicism*landscapes,4.167,6.33,,4,3.83,5,4.17,4.33,4,4,4.17
f298601c86a04cb1816a17e4e5511db4.png,oil painting*classicism*landscapes,4.429,4.29,,3.57,3.71,3.86,3.57,3.86,4.14,4.14,3.57
6115c25d61cd4f9c9cc176b39feb950c.png,oil painting*classicism*landscapes,4.5,4.67,,3.83,3.5,4.83,4.5,4.5,4.33,4,3.67
3418069513a0431e92ffb1d99abac609.png,oil painting*classicism*landscapes,4.583,5.17,,4.33,4.33,5.67,4.67,5.17,5.33,4.67,4.5
365bb63d43cb491e87084ad66f1bf813.png,oil painting*classicism*landscapes,4.583,5.67,,5.83,4.83,5.33,5.17,5.17,5,5.17,4.33
47245050e41f443891d20f3e91ae5aec.png,oil painting*classicism*landscapes,4.583,4.67,,4.5,4.5,5,4.67,4.5,4.83,5,4.5
dfba78bdced7402bb750ab609115dfba.jpg,oil painting*classicism*landscapes,4.857,5.86,,5.43,5,5,4.86,5.43,4.43,4.57,4.71
0247fc40a6ed41c9ae7b6822cf40141a.jpg,oil painting*classicism*landscapes,5,5.6,,5,4.8,6.2,4.6,4.8,5.4,5.2,4.6
a9ffe7284d44481d8a16c746f5885761.jpg,oil painting*classicism*landscapes,5.083,5.33,,4.67,4.5,5.17,4.83,5.17,5.17,4.83,5
712b383c1cb6420e8bd015ef1248211f.png,oil painting*classicism*landscapes,5.5,5.67,,5.83,6,5.5,5.67,6,5.5,5.83,5.83
1a2c14b41cad414dbf493d10278a382a.jpg,oil painting*classicism*landscapes,5.583,6.33,,5.33,4.5,6.17,5.5,5.67,6,6,5.67
b39ed2f784c8439491f15f85a68c5bde.jpg,oil painting*classicism*landscapes,5.833,6.17,,5.5,5.17,5.67,5.5,5.83,5.83,6,6.17
59caa95fcb0c4cd0903516fd47a86e1f.jpg,oil painting*classicism*landscapes,6.083,6.33,,6.33,5.83,6.33,6.17,6,6.33,5.83,6.5
bfc65de60d904266b16621d5c69122b2.jpg,oil painting*classicism*landscapes,6.143,6.43,,5.29,5.57,6.14,5.71,6.29,5.29,5.29,5.86
a3272ecacb8b46e898baa4d15a93fb5c.jpg,oil painting*classicism*landscapes,6.167,4.56,,5.67,5.56,5,6,6.33,5.44,6.33,6.56
a705f4990cf84a80a632bcbcbcddf954.jpg,oil painting*classicism*landscapes,6.167,6.33,,6.33,6.5,6.17,6.17,6.17,6.33,6.33,6.5
8be97273b9574cd8b3fc55bb30fbd160.jpg,oil painting*classicism*landscapes,6.25,6.17,,5.67,5.33,6.5,6.33,6,6.5,6.5,6.67
b7436bb580d34887bbdc792434e8ccc2.jpg,oil painting*classicism*landscapes,6.357,6.86,,6.43,6.14,6.14,6.29,6.29,6.43,6.43,6.86
4d4ef85c7cf94c2eb06927a8fdf50968.jpg,oil painting*classicism*landscapes,6.417,6.5,,6.5,6.17,6,6,6.5,6.17,6.17,6.83
6c7dfe54bf624b579cc76d67257dba5d.jpg,oil painting*classicism*landscapes,6.417,6.17,,5.67,5,6,6.17,6.5,5.83,6,6.5
d4092ddfb55e491c8daaaa03a6760093.jpg,oil painting*classicism*landscapes,6.571,6,,6.29,5.86,6.29,6.29,6.43,6.29,6.43,6.29
28d95de091964bfe853a26061ea0d25a.jpg,oil painting*classicism*landscapes,6.583,6.17,,5.67,6.17,6.17,6.17,6.67,6,6.5,6.67
4a2c035ee1f440e3953467c1896589d9.jpg,oil painting*classicism*landscapes,6.583,6.33,,7,6.5,6.67,6.67,7,6.83,6.83,6.67
840be58d99804dcf942c259e93ac510e.jpg,oil painting*classicism*landscapes,6.583,7.33,,7.33,6.33,7,6.67,6.5,7.17,6.5,6.5
0c817348250746b086a798ff6872a543.jpg,oil painting*classicism*landscapes,6.6,7.2,,6,5.8,7.2,6.4,6.6,7,6.6,6.4
75a3e18068a540769445a467cbff7568.jpg,oil painting*classicism*landscapes,6.75,6.67,,6.33,5.83,6.83,6.17,6,6.83,7,6.67
8740fff28bf048ac8596f9799a49aea5.jpg,oil painting*classicism*landscapes,6.75,7,,7.33,6.83,7.33,7.33,7,7.33,6.83,7.17
94d88834c35c4806bf10a50f49874cb2.jpg,oil painting*classicism*landscapes,6.75,6.33,,6.33,6.17,6,6.83,6.5,5.33,6.5,6.33
f2878cfe427b4be8a60cf7cd08770522.jpg,oil painting*classicism*landscapes,6.786,6.14,,6.14,7,5.86,6,5.86,6.57,6,6.14
b646af4c185f485ab0cdb6a7ef16b081.jpg,oil painting*classicism*landscapes,6.833,6.67,,7.83,7.33,6.67,7.17,7.33,7.17,7,7.5
01f90df093f24dcbbc5b5b3ca6bd61f8.jpg,oil painting*classicism*landscapes,6.9,6.8,,6.4,6.2,6.8,6,6.4,7,6.4,6.8
47f1847091e44ab6bc03828bf294d385.jpg,oil painting*classicism*landscapes,6.917,6.83,,6.67,6.5,7.17,7.33,7.67,7.17,6.33,7.17
9acb95598e504d9bbb73805fe73400e5.jpg,oil painting*classicism*landscapes,6.917,5.83,,5.5,6,5.83,6.5,6.67,6.33,6.83,6.17
3357228a832c4ecdb7d6c4dd2875c28c.jpg,oil painting*classicism*landscapes,7.083,7.17,,6.5,6.33,6.5,6.33,7,6.33,6.33,7
5550d7aaef104ddb8944ab24262ab024.jpg,oil painting*classicism*landscapes,7.083,7.33,,7.33,7,6.67,7.17,7.33,7.17,6.83,7.33
69f627bf9c5342b7991f1ba4f58224dc.jpg,oil painting*classicism*landscapes,7.083,6.33,,6.33,6.33,6.33,6.5,7.33,6.33,6.5,7.17
86f805e3a2924e82840bfa985ff3810f.jpg,oil painting*classicism*landscapes,7.083,7.5,,7.17,7.33,6.17,7,7,6.83,7.5,7.33
93c62d6921a648e9b86d2b3654c4aca1.jpg,oil painting*classicism*landscapes,7.083,6.83,,7.17,6.5,7.17,6.5,6.83,7.67,7.33,7
312c2a99167844b984d244e6ddee9b75.jpg,oil painting*classicism*landscapes,7.167,8.33,,7.5,7.33,8,7.33,7.33,7.67,7.33,7.5
5b4ed3385c654503b2f0554cd10f5811.jpg,oil painting*classicism*landscapes,7.167,6.83,,6.83,6.67,6.67,7.33,7,7.33,7.5,7.33
62c3d2f4bb8b42a8b27de3dd7bf98be8.jpg,oil painting*classicism*landscapes,7.167,7,,7.33,6.67,6.5,6.83,6.83,7.33,7,6.67
a68ba65630204cc382c8ef76b17f0533.jpg,oil painting*classicism*landscapes,7.167,7,,7.33,7,7,7,7.17,7.33,7.33,7.67
1e8d6cc5950b4b39a5db8b99bb4f4ebf.jpg,oil painting*classicism*landscapes,7.25,7.67,,7.67,7.5,7.67,7,7.33,7.5,7.33,7
83fb43de7d2142e8a289d697c8df0f60.jpg,oil painting*classicism*landscapes,7.25,7.67,,7.17,7,7.33,7.17,6.67,7,7,7
a6ddfd883d8044419888953c8bd17a18.jpg,oil painting*classicism*landscapes,7.25,6.83,,6.83,7,7.33,7.33,7.33,7.17,7.17,7.17
b5e0a159256942c0aa3fa91d0183af04.jpg,oil painting*classicism*landscapes,7.25,6.83,,7.17,7.33,6.5,6.83,7.33,6.33,7.5,7.67
c3eca85736304fc193393d35fed0b511.jpg,oil painting*classicism*landscapes,7.286,6.57,,7,6.86,6.43,7.43,6.71,7.43,6.86,7.71
dd9d2a4b2ca94e469555177ca613f0be.jpg,oil painting*classicism*landscapes,7.286,7.43,,6.86,7.14,6.86,7,7.29,7.14,7.43,6.86
de90d1408dcb4d789f6ae1aaad4c366d.jpg,oil painting*classicism*landscapes,7.286,6.43,,6.71,6.29,6.57,6.43,6.14,6.43,6.43,6.29
a61f4dbe63e740ada395de6ce1dc8f49.jpg,oil painting*classicism*landscapes,7.333,7.83,,7.5,7.17,7,7.5,7.5,7.17,7.67,7.5
ff18594238aa46df841784f3f43f424b.jpg,oil painting*classicism*landscapes,7.333,7,,6.67,7,6.22,7,6.67,6.56,6.33,6.11
bd1f89897b5c4a129757151895150ab6.jpg,oil painting*classicism*landscapes,7.357,6.86,,5.86,6.86,7.14,6.29,6.14,7.29,6.43,5.71
0e9c96c466d645d49c0d4d717b253322.jpg,oil painting*classicism*landscapes,7.4,7.2,,7.4,6.6,6.8,7.2,7,7.2,7,6.8
fffb299b4eb9420d902a89dab4d5194d.jpg,oil painting*classicism*landscapes,7.423,7.69,,7.38,7.69,7.62,7.69,7.62,6.92,7.54,7.15
7d4a343a808b4103918787c1ecb845a6.jpg,oil painting*classicism*landscapes,7.429,7.29,,7.29,6.71,7.43,7.14,7.14,6.29,7.29,7.57
de156a1bf66640ff880fdb5b14981c0d.jpg,oil painting*classicism*landscapes,7.429,7.86,,7.57,6.71,7.57,7.57,6.86,7.57,6.86,6.86
65cffde9225a4f93b4d8cde31b15592a.jpg,oil painting*classicism*landscapes,7.5,7.5,,7.67,7.33,7.67,7.5,5.83,7.17,7.83,6.17
bc219566f69144f39bb31e829b27d208.jpg,oil painting*classicism*landscapes,7.571,7.29,,6.86,7,6.86,6.57,7.14,7.29,7.14,7.43
de71581c3c7b4b1c94ea052014db1074.jpg,oil painting*classicism*landscapes,7.571,7,,7.57,7.14,7.57,7,6.29,7.14,7,6.71
e05316ac45884f22aad9db3c3b94750b.jpg,oil painting*classicism*landscapes,7.571,8,,8,7.57,7.43,7.43,7.57,7.86,7.57,7.43
e29a4724c827434a9e52a1d7cf387c65.jpg,oil painting*classicism*landscapes,7.571,7.86,,8,6.71,6.86,7.29,7.57,7,7.43,7
20115765559e4249a423346658e1f718.jpg,oil painting*classicism*landscapes,7.583,7.67,,7.33,7.17,7.83,7.67,7,7.33,7.33,7
2c498edd7a3e4cfea179f3038f54bbaf.jpg,oil painting*classicism*landscapes,7.583,8,,8.17,7.83,7.33,7.33,6.83,7.5,7,7.83
4cddff7f56cd4319946d993714761482.jpg,oil painting*classicism*landscapes,7.583,7.5,,7.83,7.5,7.33,7.33,7.17,8,7.33,7.33
8ebf6bbb85ca400dad7dce197ac73509.jpg,oil painting*classicism*landscapes,7.583,7.17,,7.5,6.83,7.17,7.67,7.67,7.33,7.33,7.83
b0b3e8c1a55348dcb19988a21c1e14b7.jpg,oil painting*classicism*landscapes,7.583,7.67,,7.5,7.67,7.33,7.5,7.5,7.67,7.67,7.5
13ceff9317094fecbe740fd21a6f467d.jpg,oil painting*classicism*landscapes,7.6,7.8,,8,7.8,8,6.8,6.8,7.8,7.4,7.4
7dfff7cb5550460c84fa52456d147935.jpg,oil painting*classicism*landscapes,7.643,7.43,,7.86,8,7.71,7.71,7.43,6.57,7.86,7.86
ca0e2cf8a0b24a559fa6372733c522f5.jpg,oil painting*classicism*landscapes,7.643,7.57,,7.57,7.43,7.29,7.57,7.71,8,7.43,7.71
ca86082d479944cb979425ca8d6bdd25.jpg,oil painting*classicism*landscapes,7.643,6.57,,7.14,7.57,6.57,7.86,7.57,6.71,6.86,7.57
d3329d4b43ba4e75a30228ac3fc4303f.jpg,oil painting*classicism*landscapes,7.643,8,,7.57,7.71,7.14,6.86,7.43,7,7.57,7.43
ef022b2c39f24b3f82b015823bb20207.jpg,oil painting*classicism*landscapes,7.643,7.14,,7.14,6.71,6.43,7.29,7,6.71,7.29,6.71
1c8e9fd7e0a548b48b171c54f790268b.jpg,oil painting*classicism*landscapes,7.667,7.17,,7.33,8.17,6.83,7.33,7.5,7.5,7.17,7.5
4c855abdae724e489b546b8339a50c51.jpg,oil painting*classicism*landscapes,7.667,7,,7.17,7,6.83,6.67,7,7.33,7,6.67
5178462d677345e99ff064ef9f68d193.jpg,oil painting*classicism*landscapes,7.667,7.83,,7.5,6.83,7.33,7.33,7.5,7,7,7.17
71c76baa4989427aa45c72f78018276d.jpg,oil painting*classicism*landscapes,7.667,7.67,,7.33,7.33,7.5,7.17,7.33,6.83,7.33,7.33
756877cda1a74b2980588b3ac3f74c2e.jpg,oil painting*classicism*landscapes,7.667,7.5,,6.33,6.5,7,7.67,7,7.67,7.17,7.33
7b0d58cb7d1c49edabe86590b29fed6f.jpg,oil painting*classicism*landscapes,7.667,8,,7.83,7.83,8.17,8.17,7.67,7.83,8,7.33
c7117f6ac0b949a8a546ad3840e7b34a.jpg,oil painting*classicism*landscapes,7.714,7.86,,7.86,7.29,7.29,7.71,7.71,7.57,7.43,7.43
c93572c4dba345e48b4c23a6de0ec334.jpg,oil painting*classicism*landscapes,7.714,7.86,,7.57,6.14,7.29,7.57,7.43,7.43,7.57,7.43
4572abffb826449ab1ef58d6a1308e65.jpg,oil painting*classicism*landscapes,7.75,7.83,,7.67,7.33,7.67,7.67,7.17,7.5,7.33,7.17
52ea9c00b23e485d91a314d1453dc4fe.jpg,oil painting*classicism*landscapes,7.75,7.17,,7.33,7,7.67,7.17,7,7.33,7.5,7.33
8e150edb731c4f04967624c6141e2cdc.jpg,oil painting*classicism*landscapes,7.75,6.83,,7,6.33,7,7.33,7.17,6.83,7.5,7.5
fb0d82764709487bb9fac5db8e0d48f9.jpg,oil painting*classicism*landscapes,7.75,8,,8.12,7.75,8,7.38,7,7,7.38,8
c7fda01b0f98407999fea3d5f139264d.jpg,oil painting*classicism*landscapes,7.786,7.43,,7.57,7.43,7.71,7,7.43,7.43,7.14,6.86
cf61c585d3ba4290a1adc16890f084b2.jpg,oil painting*classicism*landscapes,7.786,7.43,,7.86,7.71,7.43,7,7.43,7.43,7.43,7.57
d8b251e8786c4db7a40d8274a7dc844a.jpg,oil painting*classicism*landscapes,7.786,7.57,,7.43,7.14,7.14,6.86,7.14,7,6.71,7.29
0cf213d0b4aa47f093a7dde03b752463.jpg,oil painting*classicism*landscapes,7.8,7.8,,7.4,6.8,7.8,8,7.8,7.8,7.8,7
5b0a09f224bf4ba9ba9241bb4b10efa4.jpg,oil painting*classicism*landscapes,7.833,7.33,,7.67,7,7.67,7.33,8.33,7.33,7.17,7.17
4850079881a64962a94c76c1b4401427.jpg,oil painting*classicism*landscapes,7.917,7.67,,8.33,8.5,8.5,8,8.33,7.5,8,8.17
4c4aa155168e4034bf41c06c9a679cad.jpg,oil painting*classicism*landscapes,7.917,8.17,,7.33,7.17,7.67,7.17,7.5,7.5,7.83,7.5
6cc10f55c40942cf983a845730a381f7.jpg,oil painting*classicism*landscapes,7.917,7.83,,8,7.67,7.83,8,7.83,7.67,7.5,7.83
8b8a82ba7250479cb9758d895be803f5.jpg,oil painting*classicism*landscapes,7.917,7.5,,7,7,7.5,7.67,7.33,7.17,7.83,7.33
bdf93c8e9ffc47859b9571a8de1c29b0.jpg,oil painting*classicism*landscapes,7.929,8,,7.14,7.29,7.57,7.43,7.57,7.14,7.29,7.57
d64c184790634bce9230e690ad97b7a7.jpg,oil painting*classicism*landscapes,7.929,7.71,,7.14,7,8,7.86,6.57,7.57,7.86,7.29
d7a2089a158f48bea5ed3a6321fa5dfd.jpg,oil painting*classicism*landscapes,7.929,7.29,,7.57,7.57,7.57,7.57,7.57,7.43,7,7.43
3ae0c3283c77472d9665ce43f9c117fd.jpg,oil painting*classicism*landscapes,8,8.17,,8.17,8,7.83,7.83,8,8,8.33,8.17
8579e473918c446b815b45d4587fce23.jpg,oil painting*classicism*landscapes,8,7.67,,8.17,8,8.17,8,8.17,8,8.33,8
1a13225b2d524b7ea8e27dad95248ba6.jpg,oil painting*classicism*landscapes,8.083,7.33,,7.67,7,7.67,7.67,7.67,7.67,7.83,7.83
47ad04247a784809925737b7ed6abb3e.jpg,oil painting*classicism*landscapes,8.083,8.67,,8,8.67,7.17,8,8.33,8.5,8.5,8.5
b0dfb3b521e64c3aad0fbe17f6b3f7bb.jpg,oil painting*classicism*landscapes,8.083,8,,7.83,8.5,8.17,8.17,8,8.33,8.5,8.33
6983b1252bb7443099483b692a779425.jpg,oil painting*classicism*landscapes,8.167,8.33,,8.17,7.67,8,8.33,8.17,8,8,8.33
851a5076c4904870b11e691571c6557e.jpg,oil painting*classicism*landscapes,8.167,8.17,,8.17,8.17,8.33,8.5,8,8.17,8,8.33
b047e16a9bb64ec2b9dfd503ba2bf43b.jpg,oil painting*classicism*landscapes,8.167,7.83,,8.17,8.5,8.17,8.83,8.5,8.33,8.5,8.33
39e970ce3e514c20b4b0aad2992fe34d.jpg,oil painting*classicism*landscapes,8.214,8,,7.86,7.71,7.71,8.29,8,8.14,7.57,8
e6b9c84995b54edc8d5c8835c50a1cec.jpg,oil painting*classicism*landscapes,8.214,7.14,,6.71,7,7.29,6.86,6.29,6.86,6.57,7
69bc08de4d0b4af181754e27de4477fd.jpg,oil painting*classicism*landscapes,8.25,8.33,,8.17,7.83,8.33,8.33,8,8.33,8.17,8.17
8ed688b56ec041bc905f9ec463b17aae.jpg,oil painting*classicism*landscapes,8.25,7.83,,7.67,7.5,7.17,7.83,8,8.33,8,7.67
dc727f5d3bd144758b0ad3edaacf7e5f.jpg,oil painting*classicism*landscapes,8.286,8.14,,8.29,8,7.86,8.14,8,8.14,8.14,7.57
de5b6dc9affc453386e30f9d6fe25f1e.jpg,oil painting*classicism*landscapes,8.286,8.57,,8,7.71,8,8.29,7.71,8.14,8,8.43
ca4b9c80746440edb7a65b6f0a774323.jpg,oil painting*classicism*landscapes,8.312,7.75,,7.88,8,7.88,7.75,7.62,7.5,7.62,8
1a1836164c5643fa824b5da097dd6eae.jpg,oil painting*classicism*landscapes,8.333,7.83,,8,7.17,8,7.83,7.67,8,7.5,7.83
4ec1c0d29839435eb2e05ce55a987dd1.jpg,oil painting*classicism*landscapes,8.333,8.5,,8,6.83,7.17,7.67,8.17,7.17,7.5,8.17
e710d70b96154d71ab07e8685295c8f5.jpg,oil painting*classicism*landscapes,8.357,7.71,,8,7.14,7.71,7.86,7.71,7.57,7.86,7.71
06409b1046ed4f66873292673fc2014d.jpg,oil painting*classicism*landscapes,8.4,8,,8.2,8,7.8,8,8.2,8.2,8,8
0731c5ed23cb4a1f9d870db5c6914e81.jpg,oil painting*classicism*landscapes,8.4,7.8,,8.4,8.4,7.8,8,8,8.2,7.8,8.2
16c8ad60c4db4356983b4fc9445d54cf.jpg,oil painting*classicism*landscapes,8.417,8,,7.83,7.67,8,8,7.83,8.33,8,8.17
2cf45e7fc4e94e91a8f8dbf3134401f9.jpg,oil painting*classicism*landscapes,8.417,8.5,,8.67,7.83,8.33,8.83,7.67,8.83,8.33,8.33
406d7725217b4c76a71935dcd37e4248.jpg,oil painting*classicism*landscapes,8.417,8.83,,8.67,8.33,8.67,8.83,8.5,8.67,8.33,8.5
00db94979d5643d3bd1725364c823fa3.jpg,oil painting*classicism*landscapes,8.5,8.4,,8,8,8.2,8,8.6,8.8,7.8,8.2
360bfc89d7df4c3999c8091995da1a07.jpg,oil painting*classicism*landscapes,8.5,8.17,,8.5,8,8,8,8.5,8.5,8.17,8.5
2d3b8201e5f9427791f63aa5d39607d3.jpg,oil painting*classicism*landscapes,8.583,7.83,,8.5,8.33,8.33,8.33,7.83,8,8.17,8.17
2e2fe50914e7460983adb9203a4c27dd.jpg,oil painting*classicism*landscapes,8.583,8.5,,8.83,8.17,8.33,8.17,8.5,8.67,8.33,8.67
cbba6b10e3684b36bfea786f7cc102a3.jpg,oil painting*classicism*landscapes,8.643,8,,7,7.29,7.43,7.14,7.71,7.57,7.71,6.57
1652dda34c4643abaa73c5611f2778da.jpg,oil painting*classicism*landscapes,8.667,8.17,,8,7.5,8,8.17,7.83,9,7.83,8
17821db377384a99bc7bde5eb872daec.jpg,oil painting*classicism*landscapes,8.667,8,,8,7.83,8,8.17,7.83,8.33,7.67,8.5
ffd6f79bb16b4823bf0ea32adfcb9a26.jpg,oil painting*classicism*landscapes,8.667,8.11,,8.78,8.22,8.22,7.78,8.11,8,8.44,8.11
e508cd33dbd440029aacf8844030e381.jpg,oil painting*classicism*landscapes,8.786,8.71,,8.29,7.86,8.71,8.14,7.43,8.14,7.71,7.86
d5b9f0edbe674b188efc34707fc561a0.jpg,oil painting*classicism*landscapes,8.857,8.86,,8.57,8.43,8.43,8.71,8.71,8.86,8.43,8.43
a1e2193e148f4510b0b2aff01a0ffdaf.jpg,oil painting*classicism*landscapes,3.833,4.5,,4.5,3.83,4.17,4.33,3.67,3.67,4,4.17
e1c5c447c8424f53b31a9b13833eb002.jpg,oil painting*classicism*landscapes,3.833,4.17,,3.5,3.5,3.67,3.67,3.67,3.5,3.83,3.5
97a050c2473f46708901c22cde16ece5.jpg,oil painting*classicism*landscapes,3.929,4.86,,3.71,3.86,3.86,4.14,4.14,3.86,3.86,3.86
29d2ef0b7890468095644f52a27d2e04.jpg,oil painting*classicism*landscapes,4,4.33,,3.67,3.83,3.5,4.33,3.67,3.33,4,4.33
b9af3a2db6694e41bc8859c6290bb1ac.jpg,oil painting*classicism*landscapes,4.071,4.71,,4,4,4.43,4,4.14,3.86,3.86,3.71
7bf0b75d9b6e44bb999a149f17dec206.jpg,oil painting*classicism*landscapes,4.167,4.83,,4.17,4,4.67,4,4,3.83,4,4.17
ce02d378a7d041eba9088586c66acf4d.jpg,oil painting*classicism*landscapes,4.25,4.83,,4.33,4,4.17,4,4.17,3.67,4.17,4.17
36a0e93d48c84c799926cbfca2eab0a0.jpg,oil painting*classicism*landscapes,4.417,5.17,,4.67,4.83,4.33,4.33,4.5,4.67,5,4.5
6c5999c81b5b42d3a79123cdb9d6844e.jpg,oil painting*classicism*landscapes,4.583,4.67,,4,4,4.83,4.33,4.67,4.17,4.33,4.33
e34a405c614c43b2bc9ff024466aee51.jpg,oil painting*classicism*landscapes,4.583,4.33,,4.17,4.33,4,4.17,4,4.17,4.17,3.83
f0302848f879461a9caad7981ae3fff4.jpg,oil painting*classicism*landscapes,4.583,4.83,,4.83,4.67,4.5,4.5,4.33,3.83,4.83,4.5
4258dfe612cf4a12a78efe1dcb278abe.jpg,oil painting*classicism*landscapes,4.667,4.5,,4.67,5,4.33,4.5,5,4,4.67,4.33
d4ba52a4142c44229df7426d999cb7f8.jpg,oil painting*classicism*landscapes,4.667,4,,4.67,4.17,4.33,4.17,3.83,3.83,4,4
df673006126a4dfe8378523d0ab8cf89.jpg,oil painting*classicism*landscapes,4.667,4.83,,4.67,3.83,4.17,4.17,4.17,4,4.33,4
ee66372cda3a49378f093835a1abdb5a.jpg,oil painting*classicism*landscapes,4.667,4.5,,4.17,4.5,4.67,4.17,3.83,3.83,4.33,4.17
267b9db7963649a48ac0bb5348d2a5bf.jpg,oil painting*classicism*landscapes,4.75,5.67,,5.33,4.83,5.33,4.67,4.67,4.33,4.67,5
1eeb09d9297243afbba47d255399be6f.jpg,oil painting*classicism*landscapes,5,5.5,,5,5.17,4.83,4.83,5.17,4.83,4.83,5
8409a8faefd7498b83368405f9dbbce9.jpg,oil painting*classicism*landscapes,5,5,,4,3.67,4,4.17,4.5,4.17,4.33,4.33
